,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
318,Kuwait,KWT,SP.POP.TOTL.FE.ZS,42.1649062800066,42.0587413238925,41.860467754202496,41.566685334003104,41.1827078403624,40.6938882376995,40.121944665099605,39.5481706247096,39.0775353053914,38.7798283270847
321,Kyrgyz Republic,KGZ,SP.POP.TOTL.FE.ZS,50.5823835654223,50.5705777180556,50.551287384110296,50.5329692544522,50.5214019639793,50.517695211337795,50.519627117641896,50.524863083506204,50.5303037741992,50.533790319750004
324,Lao PDR,LAO,SP.POP.TOTL.FE.ZS,50.300461720433205,50.174791726374906,50.043141258422295,49.92834834616839,49.845234351357895,49.799206760068294,49.7840294398227,49.7893648061644,49.8005427468974,49.8073549293002
327,Latvia,LVA,SP.POP.TOTL.FE.ZS,54.210582124812404,54.209629882388604,54.2033301547715,54.1873225081881,54.1603614201509,54.119938306154395,54.0678397844905,54.0101666562093,53.955547164269895,53.9107688359995
330,Lebanon,LBN,SP.POP.TOTL.FE.ZS,49.31505479984511,49.428852106139495,49.5333684197709,49.615447642454605,49.6711993131151,49.702045535478796,49.712224276337395,49.705805515578,49.6879753793517,49.6626592094695
333,Lesotho,LSO,SP.POP.TOTL.FE.ZS,51.2948193750552,51.1767812016747,51.054557787716,50.9433075860017,50.8536379844498,50.7891651297492,50.7460560010557,50.7168954341523,50.6911837430309,50.6617335402184
336,Liberia,LBR,SP.POP.TOTL.FE.ZS,49.9131039969174,49.894285364713106,49.873938908330494,49.852919182623395,49.8317282053312,49.810564604250295,49.7892486619098,49.76829102282311,49.74826699375011,49.729114769488
339,Libya,LBY,SP.POP.TOTL.FE.ZS,49.045864880931994,49.145790216634396,49.2395832509276,49.321498972263406,49.3871833962652,49.4341328617902,49.4645193240925,49.4837888079251,49.4999227585938,49.51837989011371
342,Liechtenstein,LIE,SP.POP.TOTL.FE.ZS,,,,,,,,,,
345,Lithuania,LTU,SP.POP.TOTL.FE.ZS,54.0035648935818,54.0154999358082,54.006862221820406,53.9832771215057,53.9496608310322,53.904701588999,53.849362782774705,53.791958647327796,53.7446491940408,53.71593264643639
348,Luxembourg,LUX,SP.POP.TOTL.FE.ZS,50.228956773577394,50.1264940520481,50.0199058526893,49.9137980783103,49.811113012822396,49.713603076997394,49.621566646506096,49.53925897485121,49.4729832881295,49.4250578296932
351,"Macao SAR, China",MAC,SP.POP.TOTL.FE.ZS,51.9718317529995,51.97424991622889,51.9969932521373,52.01877297910911,52.0271785255766,52.0196663316058,52.00119503098411,51.9782848584542,51.9544192640753,51.9359597869844
354,Madagascar,MDG,SP.POP.TOTL.FE.ZS,50.1795532278604,50.1712539258137,50.1624410055215,50.1537247068099,50.145452189643706,50.1377660892804,50.130640721259006,50.123966613298705,50.11763001984551,50.1115542190773
357,Malawi,MWI,SP.POP.TOTL.FE.ZS,50.7856708522149,50.7730314542534,50.7587809981598,50.7445939267813,50.7316588142169,50.720387546756804,50.7104534738245,50.701515690576294,50.69299607826589,50.684478870964405
360,Malaysia,MYS,SP.POP.TOTL.FE.ZS,48.4103954345407,48.4243136027497,48.452673346766005,48.4851844230309,48.51446922818621,48.5387091892064,48.559750944030704,48.578520581984904,48.5969563054078,48.616406019675296
363,Maldives,MDV,SP.POP.TOTL.FE.ZS,44.7435301043646,43.70227902656139,42.591050838322204,41.457135107053,40.3476261447219,39.2355495736112,38.1599039480417,37.2649814622342,36.7048555721085,36.5584912920735
366,Mali,MLI,SP.POP.TOTL.FE.ZS,50.033674747381404,50.023129646424294,50.0157995323241,50.007549804647,49.995762316291504,49.979911438890895,49.961190938261005,49.940996726292,49.9210220681907,49.9024385859861
369,Malta,MLT,SP.POP.TOTL.FE.ZS,50.299961696830394,50.2099291385438,50.1121686566043,50.0237104535205,49.955830694323,49.910685417760604,49.8863986664688,49.8733082150459,49.86500203234961,49.85267439569321
372,Marshall Islands,MHL,SP.POP.TOTL.FE.ZS,,,,,,,,,,
375,Mauritania,MRT,SP.POP.TOTL.FE.ZS,49.981020639429396,49.9585194338139,49.9361230670253,49.913963591997096,49.8913576439141,49.868284908102105,49.8452102026301,49.822656218773496,49.8012682242607,49.781682961765
378,Mauritius,MUS,SP.POP.TOTL.FE.ZS,50.4325883201153,50.4345869808191,50.439919137079805,50.451703621343604,50.4711157268569,50.4998137684548,50.535430293626604,50.577106402858604,50.619373538005895,50.6607735536462
381,Mexico,MEX,SP.POP.TOTL.FE.ZS,51.070318502017706,51.0759011559205,51.0841907032734,51.0915483399765,51.0954978337905,51.095672972683296,51.0932755523227,51.08928083193911,51.085138749454096,51.081874440391395
384,"Micronesia, Fed. Sts.",FSM,SP.POP.TOTL.FE.ZS,49.239231304616794,49.2277955332708,49.2079077056702,49.193068016827404,49.1734474588101,49.1666288617702,49.1588986282197,49.154829545454504,49.15517832195479,49.157110440702105
387,Moldova,MDA,SP.POP.TOTL.FE.ZS,51.90684764806151,51.9026920823474,51.9087956196766,51.9229480383374,51.9427961495613,51.968427056185,52.0000187206551,52.035563123928,52.0721161004319,52.1078155649916
390,Monaco,MCO,SP.POP.TOTL.FE.ZS,,,,,,,,,,
393,Mongolia,MNG,SP.POP.TOTL.FE.ZS,50.437434597779294,50.471200815096,50.5050519071006,50.53839804007399,50.5716819418676,50.604608491544504,50.6369733584945,50.6695447058148,50.70232043869989,50.73535243352329
396,Montenegro,MNE,SP.POP.TOTL.FE.ZS,50.596141513039996,50.5832112485242,50.5760431202123,50.5730471555095,50.5693372910742,50.5647479319146,50.56177626788071,50.5590129387722,50.5554246259483,50.5521747852919
399,Morocco,MAR,SP.POP.TOTL.FE.ZS,50.665267315521405,50.61731433024671,50.5604524656981,50.506604428978,50.4637861125132,50.4345863725825,50.4160491013569,50.40384729128179,50.391590579957104,50.3749387912261
402,Mozambique,MOZ,SP.POP.TOTL.FE.ZS,51.7265488372093,51.692068668561895,51.6574512361765,51.6222661692496,51.586282390863,51.5494253848285,51.5121204724478,51.4751911012775,51.4396689749797,51.4060994511835
405,Myanmar,MMR,SP.POP.TOTL.FE.ZS,51.7952991032938,51.800960533809395,51.801696443972304,51.8009072390913,51.801009796296604,51.802667381830396,51.805192939464206,51.8078968699039,51.8096722419893,51.809797331708296
408,Namibia,NAM,SP.POP.TOTL.FE.ZS,51.6555400895257,51.6407817286221,51.6266802059184,51.612764171783,51.598362089782704,51.5835582372509,51.5684732894008,51.55369031572929,51.539371840078495,51.526024473064005
411,Nauru,NRU,SP.POP.TOTL.FE.ZS,,,,,,,,,,
414,Nepal,NPL,SP.POP.TOTL.FE.ZS,51.3194264164117,52.03773663204039,52.8344477862242,53.5625386205937,54.10717062607329,54.4317937985059,54.5648229151264,54.535343329259604,54.39517993031139,54.187037234826796
417,Netherlands,NLD,SP.POP.TOTL.FE.ZS,50.3316457555061,50.322984066675204,50.31436436771621,50.3033680534405,50.2884495266757,50.268922522647706,50.2457591037323,50.220943564781294,50.1972641829856,50.1767827517601
420,New Caledonia,NCL,SP.POP.TOTL.FE.ZS,49.6082718056841,49.5942944175679,49.5808718622156,49.57494808241079,49.578694173288795,49.5969947846384,49.6253053301535,49.6610544812955,49.700272672294595,49.7364190114575
423,New Zealand,NZL,SP.POP.TOTL.FE.ZS,50.8771183391217,50.859288945502996,50.84550933613421,50.8357266806816,50.8300417355885,50.828810981989605,50.831906821501896,50.8377693974718,50.8439990951403,50.849264230907096
426,Nicaragua,NIC,SP.POP.TOTL.FE.ZS,50.7392891961508,50.7351070533704,50.72739425005879,50.71954930817449,50.7140499618044,50.7115357465216,50.7114113847435,50.712705680084895,50.7144981829509,50.7159425374146
429,Niger,NER,SP.POP.TOTL.FE.ZS,49.994349909464205,49.9581713257765,49.92247472166861,49.88823910293571,49.856034470733796,49.8258364159644,49.797476093846704,49.7710025976669,49.746462131863005,49.7238484521352
432,Nigeria,NGA,SP.POP.TOTL.FE.ZS,49.4122357852716,49.399052984909495,49.3866273824829,49.3749786393443,49.364108871708005,49.3540232179949,49.3447057040948,49.3361135462707,49.328200490115606,49.3209244665849
435,North Macedonia,MKD,SP.POP.TOTL.FE.ZS,50.0112425475902,49.998143929806794,49.9844176362494,49.972903772295396,49.964772391173106,49.9613119525401,49.962199735254096,49.9664659424078,49.9723536543573,49.978832474152604
438,Northern Mariana Islands,MNP,SP.POP.TOTL.FE.ZS,,,,,,,,,,
441,Norway,NOR,SP.POP.TOTL.FE.ZS,49.9298450893078,49.8522652659225,49.779445059120505,49.7133269379723,49.654709666302395,49.6042049533894,49.5615260697797,49.5246311324926,49.4909236326886,49.4583897933352
