,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
460,Paraguay,PRY,SP.POP.TOTL.MA.ZS,50.8765971985075,50.885196783934,50.8898321161033,50.8901854133722,50.8860853738503,50.8773099781377,50.864314820116604,50.848388651693895,50.8313910762496,50.8145076151099
463,Peru,PER,SP.POP.TOTL.MA.ZS,49.8306845668755,49.7861746398032,49.7369415032304,49.694094842031205,49.6652378532729,49.6528588403635,49.65369080099379,49.6622445060867,49.6709059379101,49.674519285332096
466,Philippines,PHL,SP.POP.TOTL.MA.ZS,50.4392971484194,50.41972165779801,50.38861732107021,50.355057568246,50.325283098054896,50.3004278870239,50.278434312954,50.258342614818496,50.238410149366295,50.217448567880105
469,Poland,POL,SP.POP.TOTL.MA.ZS,48.364547030592,48.3905538784556,48.421639443092005,48.4497964681771,48.4691674907522,48.477557500657205,48.47662024385,48.4692926205484,48.46033037942511,48.4531782969701
472,Portugal,PRT,SP.POP.TOTL.MA.ZS,47.7402097453514,47.625226242667395,47.5178374920331,47.4259240346531,47.355364105326004,47.310135837931995,47.28956827347589,47.288038289454796,47.2969862249611,47.3097246003048
475,Puerto Rico,PRI,SP.POP.TOTL.MA.ZS,48.0123105895678,47.988389880590496,47.9510198024182,47.90010154424271,47.8363820681399,47.75562642985129,47.656966136861,47.5499062705002,47.4522431959594,47.3818179276017
478,Qatar,QAT,SP.POP.TOTL.MA.ZS,76.7109460267936,76.6733695251262,76.46953088254241,76.2242792580683,76.0105592686307,75.8339332853372,75.66743383832579,75.5047126163235,75.334304824985,75.1506390009233
481,Romania,ROU,SP.POP.TOTL.MA.ZS,48.5625114140836,48.5897369156504,48.626965575544006,48.6607308630776,48.68142233280479,48.68530855292,48.6752444773742,48.656256936929,48.63672591958979,48.622864230732205
484,Russian Federation,RUS,SP.POP.TOTL.MA.ZS,46.3599051396461,46.3469136967814,46.337826225194796,46.332264557143205,46.329846305059604,46.3303519012107,46.3334046839839,46.3382376418675,46.34393132731339,46.3497785238661
487,Rwanda,RWA,SP.POP.TOTL.MA.ZS,49.0342438158758,49.0529654582495,49.0713624648038,49.0885431116469,49.1038401923254,49.117010798598606,49.128475514483,49.138938652828706,49.149572129046604,49.160965515612
490,Samoa,WSM,SP.POP.TOTL.MA.ZS,51.6170673551361,51.6285981733469,51.64960778556151,51.674643637498704,51.696036380548804,51.71481443404961,51.7311807041432,51.7437591776799,51.7542479946015,51.7630159770173
493,San Marino,SMR,SP.POP.TOTL.MA.ZS,,,,,,,,,,
496,Sao Tome and Principe,STP,SP.POP.TOTL.MA.ZS,50.026284271167,50.0392793825706,50.038005789375,50.0288667378543,50.0263238383666,50.0273101697167,50.0323537081213,50.0364873573676,50.0404560842231,50.0431189855859
499,Saudi Arabia,SAU,SP.POP.TOTL.MA.ZS,56.3629175192184,56.463533101427295,56.5747810016871,56.711324332754096,56.8797442788684,57.0880532007654,57.3245977341656,57.554152023823995,57.73090522794249,57.8255440569127
502,Senegal,SEN,SP.POP.TOTL.MA.ZS,48.6608140947845,48.63982139965779,48.6252314450523,48.621188113503294,48.6299160747542,48.6517903674882,48.6841342380491,48.7226702317929,48.762005900458,48.7984899602423
505,Serbia,SRB,SP.POP.TOTL.MA.ZS,49.0161551607634,49.020214055388095,49.020898560045396,49.019350247755604,49.016349064531,49.011736326433706,49.0053199326857,48.997477035846,48.9891963592374,48.98099771441521
508,Seychelles,SYC,SP.POP.TOTL.MA.ZS,51.703271587470894,51.7007170006911,51.629067314795996,51.5348037446664,51.459765637338,51.4099737752192,51.3752618805617,51.3450882649803,51.3264648407526,51.290420988407604
511,Sierra Leone,SLE,SP.POP.TOTL.MA.ZS,49.7766498792212,49.7899468252623,49.80308057648811,49.8166991656018,49.831209514788895,49.8465515580488,49.8626079949768,49.87872785222879,49.894364759566706,49.909069654763
514,Singapore,SGP,SP.POP.TOTL.MA.ZS,52.27840429816629,52.341246406302005,52.3492536853663,52.337924304712494,52.3320666156069,52.33488248689999,52.338122249275706,52.3418745938995,52.3440120613134,52.3432044924545
517,Sint Maarten (Dutch part),SXM,SP.POP.TOTL.MA.ZS,,,,,,,,,,
520,Slovak Republic,SVK,SP.POP.TOTL.MA.ZS,48.518099321640605,48.533433895474204,48.5505986014404,48.569867583947705,48.590904357815,48.614048398741595,48.638421058524706,48.6616674769215,48.6807249095292,48.693275366173204
523,Slovenia,SVN,SP.POP.TOTL.MA.ZS,49.621553002567204,49.6591548556584,49.674231261390496,49.681884489777005,49.69348671952821,49.711576242464,49.73244493461021,49.7547929672987,49.7766343027748,49.796241531709605
526,Solomon Islands,SLB,SP.POP.TOTL.MA.ZS,50.79165758731871,50.7941503346725,50.8052278109461,50.820247360235996,50.8307454574696,50.83834056031429,50.8428847695863,50.8453625301751,50.8467187502333,50.847748799641295
529,Somalia,SOM,SP.POP.TOTL.MA.ZS,49.9357845495889,49.9212023888664,49.90774061061211,49.8959032585293,49.885875428093996,49.8778729327238,49.8716547520026,49.866649787033396,49.862351036780304,49.858288619819604
532,South Africa,ZAF,SP.POP.TOTL.MA.ZS,49.3464943563022,49.354689870899705,49.360655836944105,49.361908136713495,49.356916681070004,49.34508646679029,49.327415936266796,49.305849615140495,49.283053407301104,49.260929553493796
535,South Sudan,SSD,SP.POP.TOTL.MA.ZS,49.9936576203412,50.0030355021254,50.0109608567044,50.01806746868421,50.024800159243604,50.0313223515858,50.0376325272616,50.043695637834205,50.0494751726478,50.05493700982039
538,Spain,ESP,SP.POP.TOTL.MA.ZS,49.378819775839204,49.3071816687479,49.224701246867895,49.1510194541113,49.1007044300021,49.079559346779696,49.08312516714479,49.1033586867441,49.127575792445406,49.1464969477027
541,Sri Lanka,LKA,SP.POP.TOTL.MA.ZS,48.5799688369182,48.471101977884,48.3699093255968,48.279006212662104,48.1999733690759,48.1338128688037,48.079333291303904,48.033182343198604,47.9907271400028,47.948587907020205
544,St. Kitts and Nevis,KNA,SP.POP.TOTL.MA.ZS,,,,,,,,,,
547,St. Lucia,LCA,SP.POP.TOTL.MA.ZS,49.230935751802996,49.2403228910752,49.24368327652739,49.2442809312029,49.2438494732905,49.245117426178105,49.2481556188003,49.249546429160496,49.24697065018189,49.2416775128112
550,St. Martin (French part),MAF,SP.POP.TOTL.MA.ZS,,,,,,,,,,
553,St. Vincent and the Grenadines,VCT,SP.POP.TOTL.MA.ZS,50.9412362092046,50.9604832388067,50.9638753866549,50.950692581842205,50.9286663306913,50.8911361414856,50.844972957223206,50.791216767988395,50.7238251968931,50.6710411277457
556,Sudan,SDN,SP.POP.TOTL.MA.ZS,49.8730398547359,49.8796188218081,49.896790226624496,49.9158913357925,49.93098980570829,49.94105893847671,49.9479754172882,49.952585469834005,49.956409509516895,49.960456581385706
559,Suriname,SUR,SP.POP.TOTL.MA.ZS,50.3571715525891,50.345221313005,50.33336683141629,50.322803364673796,50.312446345790704,50.302452012186606,50.292286954799394,50.282905690579796,50.2706570593588,50.256548375989105
562,Sweden,SWE,SP.POP.TOTL.MA.ZS,49.849805185648,49.8875122513614,49.9222604745095,49.9542051458827,49.983425412667295,50.009765145455894,50.033160371715205,50.0542238330143,50.073746628643704,50.09220468410089
565,Switzerland,CHE,SP.POP.TOTL.MA.ZS,49.298443351627704,49.354121363045905,49.405577295792895,49.451566127869995,49.4913867135122,49.5244044838164,49.5510003374017,49.572875337776296,49.5923870502008,49.6110631341557
568,Syrian Arab Republic,SYR,SP.POP.TOTL.MA.ZS,50.4355412679383,50.413185940253705,50.4075600202794,50.39967748954061,50.3737898745547,50.325322962604105,50.2602910713819,50.1857886386016,50.1141408865497,50.055635054158294
571,Tajikistan,TJK,SP.POP.TOTL.MA.ZS,50.4669368926849,50.471438269587296,50.468970500691,50.4622657833169,50.4533524232676,50.4426059680905,50.429975665154295,50.416164561386395,50.4016887416757,50.3870663210047
574,Tanzania,TZA,SP.POP.TOTL.MA.ZS,49.889299094967896,49.895510455192095,49.89961044595879,49.9045817398015,49.9122403168229,49.922883896281206,49.935506261440494,49.9489890904204,49.961883761254796,49.973217191293706
577,Thailand,THA,SP.POP.TOTL.MA.ZS,48.974890229518095,48.9413868326993,48.9077661550447,48.873680447807104,48.8389768107087,48.8034800787394,48.7673966830457,48.7312953850305,48.695961330649396,48.661992414954604
580,Timor-Leste,TLS,SP.POP.TOTL.MA.ZS,50.5508671756109,50.5533088202845,50.5536344781182,50.5527818770315,50.551035113442005,50.5489674720267,50.54526004214729,50.5415327589266,50.53722779015099,50.5325224772876
583,Togo,TGO,SP.POP.TOTL.MA.ZS,49.62667180518189,49.643221308194896,49.658038043510295,49.6723380522575,49.686979476898095,49.70202206352321,49.717125831138496,49.7319527778535,49.7459466969977,49.7588460655291
586,Tonga,TON,SP.POP.TOTL.MA.ZS,50.115877093029994,50.078842859367704,50.04028771323011,50.0064341783554,49.9831315737249,49.9826977645512,49.9960785082645,50.013081522107804,50.0358861976899,50.0525085858634
589,Trinidad and Tobago,TTO,SP.POP.TOTL.MA.ZS,49.5106198266701,49.497253895334204,49.484305330248496,49.47065226885861,49.4564091037792,49.441441153689496,49.42567518749189,49.408673366234,49.3904882474091,49.3713071395243
